sale_id,vin,dealer_id,sale_date,msrp,discount_amount,sale_price,finance_type,sales_channel,trade_in_flag,days_on_lot
144,1C3N9VNEW40078518,DLR4013,2024-02-24,30000.0,3364.06,26635.94,Cash,Fleet,0,5
145,1C4V0E5T554410948,DLR7474,2024-03-01,45000.0,6495.77,38504.23,Loan,Fleet,0,6
146,ZAR4TGNF899541398,DLR4387,2022-09-16,89200.0,3271.32,85928.68,Lease,Retail,0,9
147,1C6WHYHD437588986,DLR1448,2022-07-24,42000.0,2256.69,39743.31,Lease,Retail,1,16
148,ZFARH8E2D14313744,DLR3794,2022-06-03,67100.0,11133.49,55966.51,Loan,Rental,0,9
149,1C4NBBJ2961072534,DLR3276,2023-11-04,28300.0,3486.31,24813.69,Loan,Fleet,0,10
150,2C3FC5XH714220896,DLR1852,2024-09-26,94000.0,6870.37,87129.63,Cash,Retail,0,142
151,2C3KS10V798622848,DLR8904,2023-04-11,36000.0,1808.44,34191.56,Cash,Retail,0,54
152,ZAR59UPKV57165036,DLR2938,2023-09-06,45200.0,5673.17,39526.83,Cash,Fleet,0,10
153,1C4R349CY07956393,DLR5157,2024-01-05,34800.0,1863.98,32936.02,Loan,Retail,0,1
154,2C3EKTCRP40226511,DLR7877,2022-12-15,84400.0,5971.51,78428.49,Lease,Retail,1,5
155,3C6V9D41K94384972,DLR9908,2024-10-16,34900.0,4307.96,30592.04,Loan,Fleet,0,1
156,1C3B6LH1780832460,DLR7144,2024-07-30,35100.0,2832.33,32267.67,Lease,Retail,0,26
157,2C30Y9JPN07517257,DLR2972,2022-11-20,95000.0,5520.08,89479.92,Lease,Retail,0,3
158,2C3G25NTJ19992884,DLR3262,2024-05-18,40700.0,2807.22,37892.78,Loan,Retail,0,1
159,2C3L0159E35342202,DLR5408,2022-08-07,55700.0,2855.24,52844.76,Loan,Retail,0,8
160,ZARYYFAEA43582378,DLR5157,2022-02-14,28700.0,906.35,27793.65,Loan,Retail,0,1
161,ZFA70GF9S84034250,DLR5480,2024-10-14,42300.0,7961.96,34338.04,Loan,Fleet,0,9
162,1B31861UA07283153,DLR5170,2023-12-23,30000.0,2102.89,27897.11,Loan,Retail,1,99
163,1B3L18ZG125759823,DLR3949,2022-07-18,84400.0,6504.14,77895.86,Loan,Retail,1,38
164,1C4XHSD8S23697713,DLR7099,2024-01-18,48000.0,3117.46,44882.54,Loan,Retail,0,47
165,3C6LK3D5Y61921159,DLR3166,2024-01-20,61400.0,4893.76,56506.24,Lease,Retail,0,26
166,1B3H1Z6CP02501652,DLR7144,2024-09-13,42800.0,1963.14,40836.86,Lease,Retail,0,38
167,1C449E4NX65280094,DLR5706,2023-04-08,32000.0,3976.48,28023.52,Loan,Fleet,0,33
168,1C3LSM6K848470920,DLR6924,2024-03-19,52200.0,2180.78,50019.22,Loan,Retail,0,34
169,2C30Y9JPN07517257,DLR6935,2024-02-20,95000.0,14103.11,80896.89,Loan,Rental,0,13
170,1C44R612N45150572,DLR2029,2023-11-03,57700.0,6725.26,50974.74,Loan,Fleet,0,6
171,2C3WAJ3L864332468,DLR5706,2023-09-11,24000.0,1248.05,22751.95,Cash,Retail,1,82
172,3C6VZMTLT32258551,DLR6833,2022-10-05,34000.0,2476.86,31523.14,Loan,Retail,0,16
173,ZARF8MDD468759358,DLR2972,2024-05-08,63900.0,1486.21,62413.79,Lease,Retail,0,52
174,ZFA70GF9S84034250,DLR4965,2024-04-15,42300.0,1649.05,40650.95,Loan,Retail,1,76
175,2C3VPTU7711218689,DLR1448,2023-04-29,82000.0,5978.88,76021.12,Loan,Retail,0,100
176,1C6TXFXAK71747066,DLR4190,2022-05-05,46700.0,842.25,45857.75,Loan,Retail,0,45
177,3C62VUPYJ17435224,DLR6785,2022-07-07,42000.0,3527.98,38472.02,Loan,Retail,1,176
178,2C3ZKL1CS99022988,DLR4633,2023-05-14,84600.0,6725.66,77874.34,Loan,Fleet,0,9
179,3C6V9D41K94384972,DLR1137,2023-03-01,34900.0,3018.1,31881.9,Loan,Fleet,0,7
180,ZAR7D5J6112236852,DLR5422,2022-01-06,35200.0,6758.9,28441.1,Lease,Rental,0,14
181,1B3LRXLWV33402274,DLR3166,2022-08-14,29000.0,1758.28,27241.72,Cash,Retail,0,12
182,3C6YT3DHZ35454737,DLR9908,2023-10-26,46300.0,2393.08,43906.92,Loan,Retail,1,2
183,ZFA5XWFFZ69703796,DLR6570,2024-12-13,34800.0,3068.55,31731.45,Cash,Retail,1,1
184,1C46T41PJ11828137,DLR3776,2024-11-17,28000.0,1929.15,26070.85,Loan,Retail,1,161
185,ZAR0LMA5V41607243,DLR7906,2022-03-30,34000.0,5328.2,28671.8,Loan,Fleet,0,4
186,ZFAMBHRVX46717238,DLR2029,2022-05-05,52400.0,6174.99,46225.01,Loan,Fleet,0,1
187,1B3YMYB9Z37940255,DLR1448,2022-05-31,35200.0,586.0,34614.0,Loan,Retail,1,3
188,2C3G25NTJ19992884,DLR6172,2023-10-28,40700.0,4606.88,36093.12,Loan,Retail,1,43
189,ZFACPJEN123636469,DLR9071,2022-08-23,31500.0,2445.98,29054.02,Loan,Fleet,0,14
190,1C3AXGWN027801813,DLR9680,2024-05-30,70600.0,4428.18,66171.82,Loan,Retail,0,16
191,2C3G25NTJ19992884,DLR6570,2022-07-14,40700.0,925.44,39774.56,Loan,Retail,0,16
192,1C3AXGWN027801813,DLR3924,2022-06-24,70600.0,3481.78,67118.22,Cash,Retail,0,1
193,ZFAMBHRVX46717238,DLR9399,2022-05-03,52400.0,564.09,51835.91,Loan,Retail,1,70
194,1C4KYLCD975626268,DLR4190,2024-05-16,34100.0,1574.18,32525.82,Lease,Retail,0,37
195,ZFA7D2KC243645137,DLR4190,2022-08-01,30100.0,1772.15,28327.85,Loan,Retail,1,36
196,ZAR25M2JA78568443,DLR2856,2023-12-19,35800.0,5922.86,29877.14,Loan,Fleet,0,31
197,2C3UV9SN845568682,DLR4013,2023-04-09,88000.0,13091.53,74908.47,Lease,Fleet,0,11
198,ZARZBNP3Z90728842,DLR7906,2022-02-23,36700.0,2235.46,34464.54,Loan,Retail,1,9
199,ZFARR4YWK66413376,DLR9783,2023-09-25,85000.0,4192.9,80807.1,Loan,Retail,1,53
200,2C3JJVJW632950016,DLR7618,2022-03-04,56000.0,2942.73,53057.27,Loan,Retail,1,56
201,ZARBYK5BY27444931,DLR6785,2023-11-30,85000.0,9885.92,75114.08,Loan,Retail,1,31
202,ZFAAC4XSD26941748,DLR4885,2022-06-23,28000.0,1373.01,26626.99,Lease,Retail,1,48
203,1C3FEGGBM25372289,DLR3276,2023-07-12,88000.0,4098.81,83901.19,Lease,Retail,1,8
204,1B3LRXLWV33402274,DLR9680,2024-11-15,29000.0,2164.83,26835.17,Loan,Retail,1,73
205,1C3NRJSHJ07603595,DLR3148,2024-09-23,46200.0,2149.06,44050.94,Loan,Retail,0,28
206,1B3EB9X2S85733168,DLR3848,2023-03-09,48800.0,3280.65,45519.35,Loan,Fleet,0,16
207,ZAR1WCR7P45307074,DLR3095,2022-01-16,42000.0,1524.76,40475.24,Cash,Retail,0,58
208,1C4DMHY7J08371270,DLR5170,2024-10-21,85000.0,5414.5,79585.5,Lease,Retail,1,1
209,ZFAX40R1828544728,DLR6703,2022-03-28,63200.0,1090.52,62109.48,Cash,Retail,1,22
210,2C3JJVJW632950016,DLR5098,2024-04-08,56000.0,3186.59,52813.41,Cash,Retail,1,8
211,3C6FXX4EZ09103164,DLR3381,2022-12-18,28800.0,4800.58,23999.42,Loan,Fleet,0,3
212,3C6LK3D5Y61921159,DLR3776,2022-06-30,61400.0,2346.95,59053.05,Loan,Retail,1,19
213,ZARSBNKY905359709,DLR3276,2024-03-21,28200.0,1344.62,26855.38,Loan,Retail,0,14
214,ZAR2XWBD401412726,DLR6653,2024-11-11,40500.0,3765.32,36734.68,Loan,Retail,1,27
215,ZFA7D9F8J14736535,DLR9099,2023-12-21,34300.0,1944.51,32355.49,Lease,Retail,0,19
216,3C6N9YVZ472032298,DLR9908,2023-02-09,45000.0,2400.08,42599.92,Loan,Retail,0,28
217,ZFACPJEN123636469,DLR6653,2022-12-29,31500.0,6794.68,24705.32,Loan,Rental,0,2
218,ZARRAMZPF41603506,DLR4885,2024-07-08,55600.0,4135.61,51464.39,Loan,Fleet,0,7
219,1B3H1Z6CP02501652,DLR3381,2023-10-10,42800.0,1505.93,41294.07,Cash,Retail,1,76
220,1C3C4N28A85492388,DLR3262,2023-07-17,85000.0,3951.43,81048.57,Cash,Retail,0,27
221,1C4Y2955N48136760,DLR4387,2022-04-27,28400.0,880.66,27519.34,Lease,Retail,0,23
222,1B3L18ZG125759823,DLR5600,2024-11-04,84400.0,4228.45,80171.55,Loan,Retail,0,21
223,1C4GM1X2G59461962,DLR1760,2024-07-10,65800.0,3634.09,62165.91,Loan,Retail,0,38
224,ZFAYRZM5261949011,DLR9071,2022-11-05,26000.0,4561.95,21438.05,Loan,Rental,0,12
225,ZARPMK3EW85853752,DLR7296,2022-06-22,46100.0,3504.9,42595.1,Loan,Retail,1,20
226,1C4CSPZT700602653,DLR1448,2024-12-09,68300.0,3140.34,65159.66,Loan,Retail,1,24
227,3C6P4TCB222514775,DLR8904,2024-03-04,40800.0,1440.85,39359.15,Loan,Retail,0,1
228,ZARWTTTVS03143886,DLR4633,2022-05-15,69300.0,4950.57,64349.43,Loan,Retail,1,41
229,3C6VVZLAJ02047508,DLR3389,2022-11-04,85000.0,5723.26,79276.74,Loan,Retail,1,32
230,1C4H5E08P02819855,DLR9099,2023-09-28,93800.0,4825.1,88974.9,Loan,Retail,0,9
231,1B3J2D55H84372013,DLR3276,2023-09-27,90000.0,4756.04,85243.96,Loan,Retail,1,19
232,ZARRAMZPF41603506,DLR3101,2022-07-11,55600.0,4151.5,51448.5,Loan,Retail,1,21
233,ZARBYK5BY27444931,DLR7877,2023-03-15,85000.0,13049.73,71950.27,Loan,Fleet,0,4
234,1B34K2SHR72380131,DLR3794,2022-06-08,41100.0,6473.83,34626.17,Loan,Fleet,0,29
235,1C6JXVEKU51916768,DLR3101,2022-03-19,66200.0,5295.61,60904.39,Loan,Fleet,0,1
236,1B3L18ZG125759823,DLR3794,2022-11-29,84400.0,6941.74,77458.26,Lease,Retail,0,1
237,2C3UV9SN845568682,DLR6614,2024-01-17,88000.0,2486.03,85513.97,Loan,Retail,1,46
238,3C68LA21146305242,DLR8904,2024-07-08,41300.0,825.59,40474.41,Lease,Retail,0,1
239,1C419S0PN24118706,DLR1639,2024-01-24,34300.0,2111.9,32188.1,Loan,Retail,0,61
240,ZARGXGNY272326080,DLR7474,2024-10-26,32000.0,3037.21,28962.79,Lease,Retail,0,180
241,ZARY2PYTX29486200,DLR3389,2022-10-11,94800.0,11318.9,83481.1,Cash,Fleet,0,21
242,1C3RZYCX370176731,DLR1004,2022-07-30,55000.0,1650.17,53349.83,Loan,Retail,1,4
243,3C6P4TCB222514775,DLR3979,2023-07-13,40800.0,3354.36,37445.64,Lease,Retail,1,21
244,ZFAAC4XSD26941748,DLR6742,2024-07-12,28000.0,4331.36,23668.64,Loan,Rental,0,12
245,ZFAVFS9CW02993277,DLR1004,2023-04-28,84800.0,1741.79,83058.21,Loan,Retail,1,25
246,ZARUJ9XTT08117861,DLR2938,2023-11-18,80000.0,7841.44,72158.56,Loan,Fleet,0,21
247,1C6JCAVWA70003524,DLR3924,2022-10-12,56000.0,1853.89,54146.11,Loan,Retail,0,5
248,1C4CSPZT700602653,DLR3276,2022-02-08,68300.0,9747.76,58552.24,Loan,Fleet,0,39
249,ZAR2XWBD401412726,DLR3101,2023-08-14,40500.0,2919.11,37580.89,Cash,Retail,1,29
250,ZFAVFS9CW02993277,DLR6172,2024-10-20,84800.0,7878.01,76921.99,Cash,Retail,0,21
251,2C39Y8TZL13456478,DLR9908,2022-10-22,89400.0,5326.72,84073.28,Cash,Retail,1,37
252,1C6ML91RY43758636,DLR4013,2022-06-25,85000.0,6318.03,78681.97,Loan,Retail,0,7
253,2C3KGUHH514044532,DLR2972,2024-11-05,68500.0,8850.58,59649.42,Loan,Fleet,1,35
